District,Total Enrollment,Total Revenue
AUSABLE VALLEY CENTRAL SCHOOL DIST,1151,31313
AUSTIN AREA SCHOOL DIST,209,4558
AUSTIN IND SCH DIST 492,4823,63889
AUSTIN IND SCH DIST 901,84564,1141321
AUSTINTOWN SCH DIST,5112,56389
AUSTWELL TIVOLI IND SCH DIST 901,163,5819
AUTAUGA COUNTY SCHOOL DISTRICT,9664,79665
AUTRAIN PUBLIC SCHS,32,1012
AVA SCH DIST 1,1284,12353
AVALON BORO SCH DIST,50,4050
AVALON IND SCH DIST 901,372,4106
AVANT SCH DIST 35,80,819
AVELLA AREA SCHOOL DIST,558,10133
AVENUE CITY SCHOOL DISTRICT R-9,255,2725
AVERILL PARK CSD,2964,55306
AVERY CO SCH,2195,24461
AVERY IND SCH DIST 902,366,3911
AVILLA SCH DIST R 13,238,2684
AVINGER IND SCH DIST 902,167,1964
AVISTON SCHOOL DISTRICT 21,395,3202
AVOCA CENTRAL SCHOOL DISTRICT,447,12539
AVOCA SCHOOL DISTRICT 37,713,18317
AVON BORO SCH DIST,153,4495
AVON CENTRAL SCH DIST,1012,19200
AVON COMMUNITY SCHOOL CORPORATION,9288,105201
AVON GROVE SCHOOL DISTRICT,5012,82077
AVON LAKE CITY SCH DIST,3721,50280
AVON LOCAL SCH DIST,4165,40673
AVON PUBLIC SCHOOLS,3321,64494
AVON SCHOOL DISTRICT 4-1,265,2859
AVON TOWN SCHS,741,11510
AVONDALE SCHOOL DISTRICT,3441,48572
AVONDALE SCHOOL DISTRICT 44,5721,47333
AVONWORTH UNION SCH DIST,1557,27306
AVOYELLES PARISH SCHOOL DISTRICT,5883,58224
AXTELL RURAL IND SCH DIST 918,782,9608
AXTELL SCH DIST 501,263,5199
AYER SHIRLEY REGIONAL SCHOOL DISTRICT,1657,49110
AYERSVILLE LOCAL SCH DIST,759,9457
AZLE IND SCH DIST 915,6156,54774
AZTEC SCHOOL DISTRICT,3324,36225
AZUSA UNIFIED SCHOOL DISTRICT,9277,109124
BABYLON UNION FREE SCH DIST,1680,47557
BACON CO SCH DIST,2128,22734
BAD AXE SCH DIST 1,1067,11315
BADGER IND SCH DIST 676,258,3428
BAGDAD UNIFIED SCHOOL DISTRICT 20,468,4594
BAGLEY SCH DISTRICT 162,1050,12871
BAILEYVILLE SCHOOL DEPARTMENT,235,5049
BAINBRIDGE GUILFORD CTL SCHOOL DIST,867,18126
BAINBRIDGE ISLAND SCHOOL DISTRICT 303,3898,50391
BAINVILLE K-12 SCHOOL DISTRICT,178,3940
BAIRD IND SCH DIST 903,322,4299
BAKER CO SCH DIST,334,5425
BAKER COUNTY SCHOOL DISTRICT,4936,42674
BAKER K-12 SCHOOL DISTRICT,483,8561
BAKER SCH DIST 5J,2398,23985
BAKER SCHOOL DISTRICT,1455,18067
BAKER VALLEY UNIF SCH DIST,162,4865
BAKERSFIELD ELEM SCH DIST,30076,327004
BAKERSFIELD SCH DIST R 4,370,3632
BAKERSFIELD TOWN SCH DIST,221,3342
BALD EAGLE AREA SCH DIST,1695,30589
BALD KNOB SCH DIST,1286,13657
BALDWIN CO SCH DIST,5559,59067
BALDWIN COUNTY SCHOOL DISTRICT,30596,330317
BALDWIN PARK UNIFIED SCHOOL DISTRICT,18316,190266
BALDWIN PUBLIC SCH DIST 1,543,18076
BALDWIN UNIFIED SCHOOL DISTRICT 348,1422,17014
BALDWIN UNION FREE SCH DIST,4759,122943
BALDWIN WHITEHALL SCH DIST,4131,61341
BALDWINSVILLE CTL SCHOOL DIST,5646,96536
BALDWIN-WOODVILLE JOINT SCHOOL DISTRICT 4,1663,21233
BALDWYN MUNIC SEP SCHOOL DIST,817,8286
BALKO SCHOOL DISTRICT 75,151,2915
BALL CHATHAM COMMUNITY UNIT SCHOOL DISTRICT 5,4658,65726
BALLARD CO SCH DIST,1426,16866
BALLARD COMMUNITY SCHOOL DISTRICT,1736,21333
BALLARD ELEM SCH DIST,132,2078
BALLARD SCH DIST R 2,146,1806
BALLICO CRESSEY ELEM SCH DIST,344,3373
BALLINGER IND SCH DIST 901,964,11622
BALLSTON SPA CTL SCHOOL DIST,4202,90233
BALMORHEA IND SCH DIST 902,161,2862
BALSZ SCHOOL DISTRICT 31,2579,24747
BALTIC SCHOOL DISTRICT 49-1,498,4456
BALTIMORE CITY SCHOOLS,84976,1417082
BALTIMORE COUNTY SCHOOLS,109830,1696216
BAMBERG COUNTY SCHOOL DISTRICT 1,1378,18173
BAMBERG COUNTY SCHOOL DISTRICT 2,717,10745
BANCROFT-ROSALIE CMNTY SCHOOL DIST 20,271,3892
BANDERA IND SCH DIST,2280,22203
BANDON SCH DIST 54,723,8280
BANGOR AREA SCH DIST,2985,52437
BANGOR CITY SCHOOLS,3653,50647
BANGOR PUBLIC SCHOOL DIST,1214,13377
BANGOR TWP SCH DIST,2446,22909
BANGOR TWP WOOD SCH DIST 8,31,238
BANGOR UNION ELEMENTARY SCH DIST,114,1476
BANGOR VILLAGE JOINT SCHOOL DISTRICT 2,579,8393
BANGS IND SCH DIST 901,1022,10334
BANKS CO SCH DIST,2841,30771
BANKS SCH DIST 13,1109,12237
BANNER SCH DIST 1,162,3661
BANNER SCH DIST 31,209,2412
BANNING UNIFIED SCH DIST,4599,52275
BANNOCKBURN SCHOOL DISTRICT 106,198,7604
BANQUETE IND SCH DIST 913,912,11122
BANTA ELEM SCH DIST,795,6080
BAR HARBOR TOWN SCHOOLS,372,6294
BARABOO SCHOOL DISTRICT,3083,36722
BARAGA TWP SCH DIST,440,6008
BARBER COUNTY NORTH UNIFIED SCHOOL DISTRICT 254,482,6199
BARBERS HILL IND SCH DIST 902,4903,83703
BARBERTON CITY SCH DIST,3853,55260
BARBOUR CO SCH DIST,2449,25128
BARBOUR COUNTY SCHOOL DISTRICT,925,10519
BARBOURVILLE INDEPENDENT SCHOOL DISTRICT,718,6175
BARDSTOWN IND SCH DIST,2811,29013
BARING PLANTATION SCHOOLS,29,295
BARK RIV HARRIS SCH DIST,729,6932
BARKER CENTRAL SCH DIST,838,16219
BARKHAMSTED TOWN SCHOOLS,317,4815
BARNARD CENTRAL SCH DIST,68,1116
BARNEGAT TWP SCH DIST,3179,58017
BARNES COUNTY NORTH SCHOOL DISTRICT 7,297,5619
BARNES UNIFIED SCHOOL DISTRICT 223,439,5042
BARNESVILLE EX VLG SCH DIST,1323,14395
BARNESVILLE IND SCHOOL DIST 146,867,8976
BARNET TOWN SCH DIST,284,4924
BARNEVELD JOINT SCHOOL DISTRICT 15,456,5729
BARNSDALL SCH DIST 29,435,3932
BARNSTABLE CITY SCHOOLS,4933,96979
BARNSTEAD SCHOOL DISTRICT,724,11997
BARNUM SCH DIST 91,792,8886
BARNWELL COUNTY SCHOOL DISTRICT 19,714,9826
BARNWELL COUNTY SCHOOL DISTRICT 45,2362,23749
BARRE CITY SCHS,886,13612
BARRE TOWN SCH DIST,841,11586
BARREN CO SCH DIST,5092,55141
BARRINGTON BORO SCH DIST,615,14588
BARRINGTON COMMUNITY UNIT SCHOOL DISTRICT 220,8910,179939
BARRINGTON SCH DIST,1356,20596
BARRINGTON TWN SCHS,3288,51518
BARRON AREA SCHOOL DISTRICT,1370,21124
BARROW CO SCH DIST 607,13412,130585
BARR-REEVE COMMUNITY SCHOOL INC,769,8964
BARSTOW MEMORIAL JCES,209,3776
BARSTOW UNIFIED SCH DIST,5920,62006
BARTELSO SCHOOL DISTRICT 57,156,1206
BARTHOLOMEW CONSOLIDATED SCHOOL CORPORATION,11506,142793
BARTLESVILLE SCH DIST 30,6069,54113
Bartlett,8529,77880
BARTLETT IND SCH DIST 902,395,4746
BARTLETT TOWN SCH DIST,292,7377
BARTON INCORP SCH DIST,182,2724
BARTON-LEXA SCHOOL DIST,837,7815
BARTONVILLE SCHOOL DISTRICT 66,244,2815
BARTOW CO SCH DIST 608,14040,147691
BASEHOR-LINEWOOD UNIFIED SCHOOL DISTRICT 458,2414,25277
BASIN SCHOOL DISTRICT 72,363,3215
BASS LAKE JOINT UNION ELEMENTARY SCHOOL DISTRICT,858,9141
BASS RIVER TWP SCH DIST,115,2554
BASSETT UNIFIED SCHOOL DISTRICT,3959,55415
BASTROP IND SCH DIST 901,9928,105159
BATAVIA CITY SCH DIST,2370,44914
BATAVIA LOCAL SCH DIST,2201,28429
BATAVIA UNIT SCHOOL DISTRICT 101,6148,106093
BATESVILLE COMMUNITY SCHOOL CORPORATION,2015,22913
BATESVILLE SCH DIST,3231,33013
BATH CENTRAL SCH DIST,1629,35523
BATH CO SCH,612,11004
BATH CO SCH DIST,2152,22370
BATH COMMUNITY SCH DIST,1081,11924
BATH LOCAL SCH DIST,1754,20190
BATH TOWN SCH DIST,121,2058
BATTIEST SCH DIST 71,270,3141
BATTLE CREEK CITY SCH DIST,4738,67965
BATTLE CREEK SCH DIST 5,414,7108
BATTLE CREEK-IDA GROVE SCHOOL DISTRICT,694,8573
BATTLE GROUND SCHOOL DISTRICT 119,13526,142945
BATTLE LAKE IND SCH DIST,464,5811
BAUGO COMMUNITY SCHOOLS,1840,21189
BAUXITE SCH DIST 14,1614,19135
BAXTER COMMUNITY SCHOOL DISTRICT,374,5225
BAXTER SPRINGS UNIFIED SCHOOL DISTRICT 508,1050,11988
BAY ARENAC INTERMEDIATE DISTRICT,828,41555
BAY CITY IND SCH DIST 901,3735,40125
BAY CITY SCH DIST,8132,80346
BAY COUNTY SCHOOL DISTRICT,27641,268131
BAY HEAD BORO SCH DIST,147,4253
BAY SCHOOL DISTRICT,586,5762
BAY SHORE UNION FREE SCHOOL DIST,6033,151127
BAY ST LOUIS-WAVELAND SCH DIST,1962,25955
BAY VILLAGE CITY SCH DIST,2539,37623
BAYARD CITY PUB SCH DIST 21,439,6431
BAYFIELD SCH DIST 10 JT,1325,14646
BAYFIELD SCHOOL DISTRICT,387,9875
BAYLESS SCH DIST,1479,17942
BAYONNE CITY SCHOOL DISTRICT,9518,142494
BAYPORT-BLUE POINT UF SCH DIST,2388,67300
BAYSHORE ELEM SCH DIST,378,4208
BAYSHORE JOINTURE COMMISSION,56,2993
BEACH HAVEN BORO SCH DIST,61,2024
BEACH PARK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 3,2348,34577
BEACH SCH DIST 3,270,5763
BEACHWOOD CITY SCH DIST,1481,38801
BEACON CITY SCH DIST,3172,63975
BEAL CITY SCH DIST,709,7302
BEALS ELEMENTARY SCHOOL,47,906
BEAMAN CONRAD-LISCOMB COMMUNITY SCHOOL DISTRICT,613,8327
BEAR LAKE SCHOOL DISTRICT 33,1112,8345
BEAR LAKE SCHOOLS,307,3471
BEAR VALLEY UNIF SCHOOL DIST,2453,33108
BEARDEN SCH DIST 29,105,957
BEARDEN SCH DIST 53,525,5895
BEARDSLEY ELEM SCH DIST,1753,18954
BEARDSTOWN COMMUNITY UNIT SCHOOL DISTRICT 15,1582,17675
BEATRICE CITY SCH DIST 15,2144,25699
BEAUFORT CO SCH,7182,65678
BEAUFORT COUNTY SCHOOL DISTRICT 1,21355,294616
BEAUMONT IND SCH DISTRICT 910,19453,179518
BEAUMONT UNIFIED SCH DIST,9256,90243
BEAUREGARD PARISH SCHOOL DISTRICT,5961,66746
BEAVER AREA SCH DIST,1966,28426
BEAVER COUNTY SCHOOL DISTRICT,1548,17444
BEAVER CREEK SCHOOL DISTRICT 26,428,3940
BEAVER DAM SCHOOL DISTRICT,3665,43238
BEAVER ISLAND COMM SCHOOL DIST,58,2208
BEAVER LOCAL SCH DIST,1859,37929
BEAVER RIVER CENTRAL SCH DIST,893,16335
BEAVER SCH DIST 22,393,3964
BEAVERCREEK LOCAL SCH DIST,7685,103160
BEAVERHEAD CO HIGH SCHOOL DIST,343,4989
BEAVERTON RURAL SCH DIST,1192,11534
BEAVERTON SCH DIST 48J,39941,477429
BECKER IND SCH DIST 726,2822,31992
BECKVILLE IND SCH DIST 901,704,8310
BEDFORD AREA SCHOOL DIST,1835,28316
BEDFORD CENTRAL SCHOOL DISTRICT,4390,131735
BEDFORD CITY SCH DIST,3446,51588
BEDFORD CO SCH DIST,8460,66120
BEDFORD CO SCH DIST,10097,103418
BEDFORD COMMUNITY SCHOOL DISTRICT,498,6122
BEDFORD PUBLIC SCH DIST,4469,42373
BEDFORD SCHOOL DISTRICT,4449,61913
BEDFORD TOWN SCH,2522,53319
BEDMINSTER TWP SCH DIST,544,18678
BEEBE SCH DIST,3356,32139
BEECH GROVE CITY SCHOOLS,2196,35798
BEECHER CITY COMMUNITY UNIT SCHOOL DISTRICT 20,345,4034
BEECHER COMMUNITY SCHOOL DISTRICT 200 U,1046,14508
BEECHER SCH DIST 32,1067,14061
BEECHER-DUNBAR-PEMBINE SCHOOL DISTRICT,264,4128
BEECHWOOD INDEPENDENT SCHOOL DISTRICT,1312,13751
BEEKMANTOWN CENTRAL SCH,1900,39684
BEEVILLE IND SCH DIST 901,3431,35350
BEGGS SCH DIST 4,1168,11399
BELCHERTOWN PUBLIC SCHOOLS,2364,37281
BELCOURT SCH DISTRICT 7,1728,25954
BELDING AREA SCHOOLS,1975,22472
BELEN SCHOOL DISTRICT,4139,45440
BELFAST CENTRAL SCH DIST,373,9494
BELFIELD SCHOOL DISTRICT 13,250,3803
BELFONTE SCH DIST 50,213,2849
BELFRY K-12 SCHOOL DISTRICT,48,1635
BELGRADE ELEM SCH DIST 44,2366,22561
BELGRADE H S DIST 44,857,9544
BELGRADE-BROOTEN-ELROSA SCHOOL DISTRICT,656,8165
BELL CITY SCH DIST R 2,225,2644
BELL CO SCH DIST,3074,35190
BELLA VISTA ELEM SCH DT,355,3639
BELLAIRE CITY SCH DIST,1192,16268
BELLAIRE SCH DIST,379,5278
BELLE FOURCHE SCHOOL DISTRICT 9-1,1353,13011
BELLE PLAINE COMMUNITY SCHOOL DISTRICT,580,6942
BELLE PLAINE IND SCHOOL DIST 716,1631,20586
BELLE PLAINE UNIFIED SCHOOL DISTRICT 357,643,7247
BELLE VALLEY SCHOOL DISTRICT 119,966,12013
BELLE VERNON AREA SCHOOL DIST,2522,36360
BELLEFONTAINE CITY SCHOOL DIST,2488,31135
BELLEFONTE AREA SCH DIST,2665,46148
BELLEVIEW ELEM SCH DIST,118,1756
BELLEVIEW SCH DIST R 3,175,1966
BELLEVILLE HENDERSON CENTRAL SCH,502,9486
BELLEVILLE SCHOOL DISTRICT,972,12564
BELLEVILLE SCHOOL DISTRICT 118,3770,46689
BELLEVILLE TOWN SCH DIST,4723,81201
BELLEVILLE TOWNSHIP HIGH SCHOOL DISTRICT 201,4827,60487
BELLEVUE CITY SCH DIST,1994,24620
BELLEVUE CITY SCH DIST 1,10076,105811
BELLEVUE COMM SCH DIST,565,6817
BELLEVUE COMMUNITY SCHOOL DISTRICT,642,8023
BELLEVUE IND SCH DIST 904,147,1725
BELLEVUE INDEP SCH DIST,765,8287
BELLEVUE SCHOOL DISTRICT 405,19456,307196
BELLEVUE UNION EL SCH D,1872,24979
BELLFLOWER UNIFIED SCHOOL DISTRICT,13149,133042
BELLINGHAM SCHOOL DISTRICT 501,11117,146654
BELLINGHAM TOWN SCHS,2381,39309
BELLMAWR BORO SCH DIST,1161,18944
BELLMORE UNION FREE SCH DIST,1030,29904
BELLMORE-MERRICK CTL HIGH SCHOOL DIST,5605,137041
BELLOWS FALLS UNION HIGH SCHOOL DIST 27,374,7538
BELLS IND SCH DIST 901,752,8435
BELLS TOWN SCHS,410,3514
BELLVILLE IND SCH DIST 901,2165,22963
BELLWOOD ANTIS SCHOOL DIST,1261,16900
BELLWOOD SCHOOL DISTRICT 88,2675,38533
BELMAR BORO SCH DIST,533,13945
BELMOND-KLEMME SCHOOL DISTRICT,857,10963
BELMONT COMMUNITY SCHOOLS,360,4822
BELMONT TOWN SCH,4283,62809
BELMONT-REDWOOD SHORES ELEMENTARY SCHOOL DIST,3900,42919
BELOIT SCHOOL DISTRICT,7133,102353
BELOIT UNIFIED SCHOOL DISTRICT 273,841,11938
BELOIT-TURNER SCHOOL DISTRICT,1503,19254
BELPRE CITY SCH DIST,930,12108
BELRIDGE ELEM SCH DIST,40,757
BELT ELEM SCH DIST 29,242,2639
BELT HIGH SCHOOL DIST 29D,83,2078
BELTON IND SCH DIST 903,10542,105484
BELTON SCH DIST 124,4971,53344
BELVIDERE COMMUNITY UNIT SCHOOL DISTRICT 100,8222,104993
BELVIDERE TOWN SCH DIST,767,13281
BEMENT COMMUNITY UNIT SCHOOL DISTRICT 5,356,4672
BEMIDJI SCH DIST 31,5147,67639
BEMUS PT CENTRAL SCHOOL DIST,746,12691
BEN BOLT-PALITO BLANCO IND SCH DIST 902,626,7382
BEN HILL CO SCH DIST,3306,33072
BENAVIDES IND SCH DISTRICT 901,371,5602
BEND-LA PINE ADMIN SCH DIST 1,17123,189079
BENDLE SCHOOL DIST,1243,12962
BENICIA UNIFIED SCH DIST,4924,49828
BENJAMIN IND SCH DISTRICT 904,96,2197
BENJAMIN LOGAN LOCAL SCHOOL DIST,1693,20363
BENJAMIN SCHOOL DISTRICT 25,691,14586
BENNETT COMMUNITY SCHOOL DISTRICT,199,2451
BENNETT COUNTY HIGH SCHOOL DISTRICT 3-1,501,8077
BENNETT SCH DIST 29 J,1079,10686
BENNETT VALLEY UNION SCHOOL DIST,1048,9612
BENNINGTON INC SCH DIST,881,13055
BENNINGTON SCHOOL DIST 40,286,3496
BENNINGTON VIL SD 59,1922,21787
BENSALEM TWP SCH DIST,6386,133827
BENSENVILLE SCHOOL DISTRICT 2,2151,39926
BENSON SCH DIST 777,856,10973
BENSON UNIFIED SCHOOL DISTRICT,1239,10561
BENSON VILLAGE SCH DIST,90,1731
BENTLEY COMM SCHOOL DIST,884,8516
BENTON AREA SCHOOL DIST,697,11183
BENTON CO SCH SYSTEM,2244,22199
BENTON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 47,1207,12155
BENTON COMMUNITY SCHOOL CORPORATION,1887,23502
BENTON COMMUNITY SCHOOL DISTRICT,1619,19055
BENTON CONSOLIDATED HIGH SCHOOL DISTRICT 103,614,9091
BENTON COUNTY SCHOOL DISTRICT,1203,12297
BENTON HARBOR AREA SCHS,2433,34532
BENTON JOINT SCHOOL DISTRICT 1,254,3985
BENTON SCH DIST 8,5095,48697
BENTON TOWN SCH DIST,32,469
BENTON-CARROLL-SALEM LOCAL SCH DIST,1606,20578
BENTONVILLE SCH DIST 6,15497,168440
BENTWORTH SCH DIST,1160,17446
BENZIE CO CENTRAL SCHOOLS,1602,15928
BEREA CITY SCH DIST,6743,93069
BEREA IND SCH DIST,1145,13155
BERESFORD SCHOOL DISTRICT 61-2,652,6531
BERGEN COUNTY SPECIAL SERVICES DISTRICT,653,136654
BERGEN COUNTY VOCATIONAL SCHOOL,2111,84355
BERGENFIELD BORO SCH DIST,3444,71273
BERGMAN SCH DIST 3,1193,10222
BERING STRAIT REGIONAL EDUCATIONAL ATTENDANCE AREA (REAA),1846,74297
BERKELEY CO SCH DIST,18668,212356
BERKELEY HEIGHTS SCH DIST,2665,52803
BERKELEY SCHOOL DISTRICT 87,2811,39973
BERKELEY TWP SCH DIST,2091,35488
BERKELEY UNIFIED SCH DIST,10442,171671
BERKLEY CITY SCH DIST 7,4631,57822
BERKLEY COUNTY SCHOOL DISTRICT,32565,354559
BERKLEY TOWN SCHS,855,13469
BERKSHIRE HILLS REGIONAL SCHOOL DISTRICT,1340,29189
BERKSHIRE LOCAL SCH DIST,921,12841
BERKSHIRE TOWN SCH DIST,305,3874
BERLIN AREA JOINT SCHOOL DISTRICT,1631,20344
BERLIN BOROUGH BOARD OF EDUCATN,857,13287
BERLIN BROTHERS VALLEY SCHOOL DIST,792,11577
BERLIN CENTRAL SCH DIST,736,18509
BERLIN CITY SCHOOL DISTRICT,1156,19585
BERLIN PUBLIC SCHOOLS,2896,69431
BERLIN TOWN SCH DIST,191,3498
BERLIN TOWN SCHS,186,3911
BERLIN TWP SCH DIST,635,16448
BERLIN TWP SCH DIST 3 FR,30,246
BERLIN-BOYLSTON REG H SCH DIST,551,11136
BERMUDIAN SPRINGS SCHOOL DIST,2009,27361
BERNALILLO SCHOOL DISTRICT,2939,42883
BERNARDS TWP SCH DIST,5688,108805
BERNE KNOX-WESTERLO CENTRAL SCH DIST,844,21875
BERNE UNION SCH DIST,867,9681
BERNIE SCHOOL DIST R 13,515,4871
BERRIEN CO SCH DIST,3191,31190
BERRIEN SPRINGS SCH DIST,2702,30944
BERRYESSA UNION ELEM SCH DIST,7758,78762
BERRYHILL SCH DIST 10,1275,9460
BERRYVILLE SCH DIST,2094,19715
BERTHA HEWITT SCH DIST 786,420,5819
BERTIE CO SCH,2546,29590
BERTRAND VILLAGE SCH DIST 54,279,4972
BERWICK AREA SCH DIST,2899,45011
BERWYN NORTH SCHOOL DISTRICT 98,3372,34761
BERWYN SCHOOL DISTRICT 100,3916,50435
BESSEMER CITY SCH DIST 1,424,4126
BESSEMER CITY SCHOOL DISTRICT,3962,41526
BETHALTO COMMUNITY UNIT SCHOOL DISTRICT 8,2539,27640
BETHANY COMMUNITY SCHOOLS,407,8487
BETHANY SCH DIST 88,1697,13372
BETHEL LOCAL SCH DIST,1038,11492
BETHEL PARK SCH DIST,4305,81679
BETHEL SCH DIST 3,1341,10153
BETHEL SCHOOL DIST 52,5659,61282
BETHEL SCHOOL DISTRICT,289,5252
BETHEL SCHOOL DISTRICT 403,18420,228415
BETHEL SCHOOL DISTRICT 82,165,1949
BETHEL TATE LOCAL SCH DIST,1608,17343
BETHEL TOWN SCHOOLS,2929,56212
BETHLEHEM AREA SCH DIST,13681,245715
BETHLEHEM CENTER SCHOOL DIST,1248,18997
BETHLEHEM CENTRAL SCH,4707,95043
BETHLEHEM TOWN SCH DIST,152,2983
BETHLEHEM TWP SCH DIST,399,10014
BETHPAGE UF SCH DIST,2926,83415
BETHUNE SCH DIST R 5,117,2037
BETTENDORF COMMMUNITY SCHOOL DISTRICT,4335,55838
BEULAH SCH DIST 27,701,8875
BEVERLY CITY SCH,4500,70508
BEVERLY CITY SCHOOL DISTRICT,297,7819
BEVERLY HILLS UNIFIED SCHOOL DISTRICT,4212,75955
BEVIER SCH DIST C 4,190,2064
BEXLEY CITY SCH DIST,2235,42686
BIBB CO SCH DIST,24354,277870
BIBB COUNTY SCHOOL DISTRICT,3357,31825
BICENTENNIAL UNION HIGH SCHOOL DISTRICT 76,98,2021
BICKLETON SCHOOL DISTRICT 203,89,3407
BIDDEFORD CITY SCHOOLS,2440,39279
BIENVILLE PARISH SCHOOL DISTRICT,2243,37542
BIG BAY DE NOC SCH DIST,228,2765
BIG BEAVER FALLS AREA SCHOOL DIST,1672,26441
BIG CREEK ELEM SCH DIST,51,1407
BIG FOOT HIGH SCHOOL DISTRICT,539,10146
BIG FORK DISTRICT 38,290,3707
BIG HOLLOW SCHOOL DISTRICT 38,1815,20464
BIG HORN CO SCH DIST 1,1034,18665
BIG HORN CO SCH DIST 4,304,8016
BIG HORN CO SCHOOL DIST 2,695,15884
BIG JACKSON SCHOOL DIST,31,400
BIG LAGOON ELEM SCH DIST,40,634
BIG LAKE IND SCH DIST 727,3298,39282
BIG OAK FLAT-GROVELAND UNIFIED SCHOOL DIST,339,5887
BIG PASTURE SCH DIST 333,198,2173
BIG PINE UNI SCH DIST,189,3693
BIG PINEY SCH DIST 9,627,16390
BIG RAPIDS PUBLIC SCHOOL DIST,1933,19644
BIG SANDY ELEM SCH DIST 11,125,1636
BIG SANDY HIGH SCH DIST 2,49,1262
BIG SANDY IND SCH DIST 901,500,5921
BIG SANDY IND SCH DIST 901,679,10774
BIG SANDY SCH DIST 100J,295,3915
BIG SPRING IND SCH DIST 901,4255,46277
BIG SPRING SCHOOL DIST,2616,46160
BIG SPRINGS ELEM SCH DIST,137,1603
BIG STONE CITY SCHOOL DISTRICT 25-1,113,1625
BIG SUR UNIFIED SCHOOL DISTRICT,96,1985
BIG TIMBER ELEM DIST 1,310,2790
BIG VALLEY JOINT UNIFIED SCHOOL DISTRICT,186,2667
BIG WALNUT LOCAL SCH DIST,3271,37537
BIGFORK SCHOOL DIST 38,556,5509
BIGGS UNIFIED SCH DIST,542,7055
BIGHORN CO SCH DIST 3,539,14887
BILLERICA TOWN SCH,5144,92392
BILLINGS ELEM SCH DIST 2,11348,114234
BILLINGS H S DIST 2,5070,59772
BILLINGS SCH DIST 1,95,2378
BILLINGS SCH DIST 2,63,1041
BILLINGS SCH DIST R 4,409,3831
BILOXI PUBLIC SCHOOL DIST,5681,61046
BINGER-ONEY SCHOOL DIST 168,396,4033
BINGHAMTON CITY SCH DIST,5955,120876
BIRCH RUN AREA SCHOOLS,1814,17643
BIRCHWOOD JOINT SCHOOL DISTRICT 4,337,5316
BIRD ISLAND-OLIVA ISD 2534,722,8948
BIRDVILLE IND SCH DIST 902,24389,250609
BIRMINGHAM CITY SCH DIST,8182,140215
BIRMINGHAM CITY SCHOOL DISTRICT,24449,261521
BISBEE UNIFIED SCHOOL DISTRICT 2,659,7424
BISHOP CONS IND SCH DIST 902,1354,15620
BISHOP SCH DIST 49,523,4264
BISHOP UNIFIED SCHOOL DISTRICT,1939,21523
BISMARCK COMMUNITY UNIT SCHOOL DISTRICT 1,881,9758
BISMARCK SCH DIST,989,10569
BISMARCK SCH DIST 1,12227,161898
BISMARCK SCH DIST R 5,516,5654
BISON SCHOOL DISTRICT 52-1,148,2574
BITTERWATER TULLY UNION SCH DIST,27,361
BIXBY SCH DIST 4,5796,50712
BLACHLY SCH DIST 90,234,3427
BLACK BUTTE SCH DIST 41,35,489
BLACK BUTTE UNION SCH DIST,204,2772
BLACK HAWK SCHOOL DISTRICT,364,5417
BLACK HORSE PIKE REG SCH DIST,3742,76147
BLACK OAK MINE UNIF SCH DIST,1314,14360
BLACK RIVER FALLS SCHOOL DISTRICT,1802,23376
BLACK RIVER SCH DIST,1104,15932
BLACK RIVER USD #39,171,4146
BLACKDUCK IND SCH DIST 32,634,8683
BLACKFOOT SCHOOL DISTRICT 55,4029,28720
BLACKFORD COUNTY SCHOOLS,1902,20731
BLACKHAWK SCH DIST,2431,34547
BLACKLICK VALLEY SCHOOL DISTRICT,657,9553
BLACKSTONE VALLEY REG VOC SCHOOL DIST,1185,25170
BLACKSTONE-MILLVILLE REG SCH DT,1775,28824
BLACKWATER SCH DIST R-2,163,1437
BLACKWELL IND SCH DIST 903,131,5769
BLACKWELL SCH DIST 45,1378,11663
BLADEN COUNTY SCHOOLS,4925,46775
BLAINE COUNTY SCHOOL DISTRICT 61,3329,57617
BLAINE SCHOOL DISTRICT 503,2199,27894
BLAIR PUB SCHOOL DIST 1,2329,25043
BLAIR SCH DIST 54,296,2647
BLAIRSTOWN TWP SCH DIST,544,10128
BLAIRSVILLE SALTSBURG SCHOOL DIST,1634,32313
BLAIR-TAYLOR SCHOOL DISTRICT,632,8638
BLANCHARD SCH DIST 29,1937,15526
BLANCHESTER LOCAL SCHOOL DIST,1684,17959
BLANCO IND SCH DIST 902,998,12454
BLAND CO SCH DIVISION,830,8344
BLAND IND SCH DIST 915,584,6697
BLANKET I. S. DISTRICT 904,210,2653
BLECKLEY CO SCH DIST,2469,23745
BLEDSOE CO SCH DIST,1932,18498
BLEVINS SCH DIST,508,5525
BLIND BROOK-RYE UF SCH DIST,1499,46873
BLISS SCHOOL DISTRICT 234,124,1802
BLISSFIELD COMM SCH DIST,1206,11474
BLOCHMAN UNION ELEM SCH DIST,1063,2127
BLOOM CARROLL SCH DIST,1898,21348
BLOOM TOWNSHIP HIGH SCHOOL DISTRICT 206,3245,58736
BLOOMBURG IND SCH DIST 909,276,2829
BLOOMER SCHOOL DISTRICT,1196,17240
BLOOMFIELD CITY SCH DIST 586,253,4526
BLOOMFIELD HILLS SCH DIST,5435,105389
